T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001206 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001226 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001138 s | E2E: 0.001138 s | Jitter: 0.001216 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001151 s | E2E: 0.001151 s | Jitter: 0.001219 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001139 s | E2E: 0.001139 s | Jitter: 0.003051 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001219 s
T: 23.72 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001158 s | E2E: 0.001158 s | Jitter: 0.001230 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001256 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001236 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001144 s | E2E: 0.001144 s | Jitter: 0.001233 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001144 s | E2E: 0.001144 s | Jitter: 0.001233 s
T: 23.70 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001235 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001208 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001225 s
T: 23.70 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001152 s | E2E: 0.001152 s | Jitter: 0.001217 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001172 s | E2E: 0.001172 s | Jitter: 0.001235 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001162 s | E2E: 0.001162 s | Jitter: 0.001264 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001163 s | E2E: 0.001163 s | Jitter: 0.001253 s
T: 23.70 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001705 s | E2E: 0.001705 s | Jitter: 0.001265 s
T: 23.71 C, P: 1006.05 hPa, H: 84.74 % | Exec: 0.001149 s | E2E: 0.001149 s | Jitter: 0.001799 s
T: 23.70 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001268 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001149 s | E2E: 0.001149 s | Jitter: 0.001237 s
T: 23.70 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001148 s | E2E: 0.001148 s | Jitter: 0.001250 s
T: 23.71 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001215 s | E2E: 0.001215 s | Jitter: 0.001233 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001166 s | E2E: 0.001166 s | Jitter: 0.001347 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001244 s | E2E: 0.001244 s | Jitter: 0.001342 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001357 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001214 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001203 s
T: 23.72 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001207 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001122 s | E2E: 0.001122 s | Jitter: 0.001204 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.003036 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001148 s | E2E: 0.001148 s | Jitter: 0.001206 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001239 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001233 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001215 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001221 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001135 s | E2E: 0.001135 s | Jitter: 0.001203 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001215 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001216 s
T: 23.70 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001219 s
T: 23.71 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001133 s | E2E: 0.001133 s | Jitter: 0.001222 s
T: 23.71 C, P: 1006.05 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001858 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001214 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001227 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001222 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001223 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001138 s | E2E: 0.001138 s | Jitter: 0.001219 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001240 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001139 s | E2E: 0.001139 s | Jitter: 0.001218 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001148 s | E2E: 0.001148 s | Jitter: 0.001253 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001139 s | E2E: 0.001139 s | Jitter: 0.001235 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001219 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001217 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001122 s | E2E: 0.001122 s | Jitter: 0.001219 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001372 s | E2E: 0.001372 s | Jitter: 0.001210 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001492 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001228 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001242 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001149 s | E2E: 0.001149 s | Jitter: 0.001239 s
T: 23.72 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001244 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001222 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001227 s
T: 23.72 C, P: 1006.02 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001232 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001313 s | E2E: 0.001313 s | Jitter: 0.001247 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001399 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001212 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001215 s
T: 23.73 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001215 s
T: 23.73 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001133 s | E2E: 0.001133 s | Jitter: 0.001207 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001213 s
T: 23.73 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001206 s
T: 23.73 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001221 s
T: 23.73 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001135 s | E2E: 0.001135 s | Jitter: 0.001235 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001222 s
T: 23.73 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001210 s
T: 23.73 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001238 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001146 s | E2E: 0.001146 s | Jitter: 0.001242 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001246 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001223 s
T: 23.73 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001206 s
T: 23.73 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001133 s | E2E: 0.001133 s | Jitter: 0.001247 s
T: 23.73 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001216 s
T: 23.73 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001145 s | E2E: 0.001145 s | Jitter: 0.001210 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001237 s
T: 23.73 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001206 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001160 s | E2E: 0.001160 s | Jitter: 0.001215 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001265 s
T: 23.72 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001216 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001229 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001139 s | E2E: 0.001139 s | Jitter: 0.001213 s
T: 23.73 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001185 s | E2E: 0.001185 s | Jitter: 0.001234 s
T: 23.73 C, P: 1005.97 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001287 s
T: 23.72 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001204 s
T: 23.73 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001506 s | E2E: 0.001506 s | Jitter: 0.001238 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001239 s | E2E: 0.001239 s | Jitter: 0.001665 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001166 s | E2E: 0.001166 s | Jitter: 0.001355 s
T: 23.72 C, P: 1005.97 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001277 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001223 s
T: 23.73 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001246 s
T: 23.72 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001240 s
T: 23.73 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001223 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001212 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001230 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001239 s
T: 23.73 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.002949 s
T: 23.73 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001211 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001155 s | E2E: 0.001155 s | Jitter: 0.001214 s
T: 23.73 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001240 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001225 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001227 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001139 s | E2E: 0.001139 s | Jitter: 0.001205 s
